FECHA_CORTE;FECHA;HORA;DEPARTAMENTO;CODIGO_VIA;KILOMETRO;MODALIDAD;FALLECIDOS;HERIDOS
20211222;1/1/2020;5:40;LIMA;PE-1S;24;DESPISTE;0;0
20211222;1/1/2020;16:30;CAJAMARCA;PE-3N;74;DESPISTE;0;0
20211222;1/1/2020;7:45;PASCO;PE-3N;103;DESPISTE;0;1
20211222;1/1/2020;18:30;CAJAMARCA;PE-08;111;DESPISTE;0;2
20211222;1/1/2020;18:40;LIMA;PE-1N;174;DESPISTE;0;5
20211222;1/1/2020;16:30;ICA;PE-1S;199;CHOQUE;0;1
20211222;1/1/2020;16:35;ICA;PE-1S;201;CHOQUE;1;1
20211222;1/1/2020;21:45;HUANUCO;PE-3N;226;ATROPELLO;0;1
20211222;1/1/2020;23:50;PIURA;PE-1N;232;CHOQUE;0;6
20211222;1/1/2020;2:30;AMAZONAS;PE-5N;263;DESPISTE;0;2
20211222;1/1/2020;23:40;AREQUIPA;PE-1S;521;CHOQUE;0;0
20211222;1/1/2020;17:45;LA LIBERTAD;PE-1N;732;DESPISTE;0;5
20211222;1/1/2020;10:30;LA LIBERTAD;PE-1N;734;DESPISTE;0;2
20211222;1/1/2020;20:50;MOQUEGUA;PE-1S;1166;CHOQUE;0;0
20211222;1/1/2020;16:50;TACNA;PE-1S;1245;DESPISTE;1;0
20211222;1/1/2020;18:15;PUNO;PE-1S;1351;CHOQUE;0;0
20211222;2/1/2020;12:50;AREQUIPA;PE-1SJ;6;DESPISTE;2;16
20211222;2/1/2020;5:45;TACNA;PE-1SD;8;DESPISTE;2;1
20211222;2/1/2020;16:30;AREQUIPA;PE-34J;14;CHOQUE;0;0
20211222;2/1/2020;16:30;AREQUIPA;PE-34E;18;CHOQUE;0;3
20211222;2/1/2020;11:00;AREQUIPA;PE-34A;34;ESPECIAL;0;0
20211222;2/1/2020;10:10;LIMA;PE-1N;39;ATROPELLO;1;0
20211222;2/1/2020;8:00;CAJAMARCA;PE-3N;43;CHOQUE;0;0
20211222;2/1/2020;0:40;LIMA;PE-22;81;CHOQUE;0;1
20211222;2/1/2020;8:25;LIMA;PE-1S;81;DESPISTE;0;0
20211222;2/1/2020;11:20;LIMA;PE-1S;91;DESPISTE;0;1
20211222;2/1/2020;16:00;AREQUIPA;PE-34A;131;CHOQUE;4;3
20211222;2/1/2020;13:00;JUNIN;PE-22;148;CHOQUE;0;3
20211222;2/1/2020;21:52;ANCASH;PE-16;162;CHOQUE;0;0
20211222;2/1/2020;17:45;LIMA;PE-1N;191;DESPISTE;0;0
20211222;2/1/2020;23:50;PUNO;PE-34H;226;DESPISTE;3;41
20211222;2/1/2020;0:40;ANCASH;PE-1N;276;CHOQUE;2;6
20211222;2/1/2020;15:45;AMAZONAS;PE-08B;294;DESPISTE;0;1
20211222;2/1/2020;6:00;APURIMAC;PE-3S;370;DESPISTE;0;2
20211222;2/1/2020;9:30;SAN MARTIN;PE-5N;579;DESPISTE;0;2
20211222;2/1/2020;16:45;MADRE DE DIOS;PE-30C;587;DESPISTE;0;4
20211222;2/1/2020;21:20;AREQUIPA;PE-1S;951;CHOQUE;0;0
20211222;2/1/2020;20:15;TACNA;PE-34B;1018;DESPISTE;0;6
20211222;3/1/2020;18:30;LIMA;LM-108;2;DESPISTE;0;2
20211222;3/1/2020;6:50;LIMA;PE-1S;71;CHOQUE;0;2
20211222;3/1/2020;2:25;LIMA;PE-1S;81;CHOQUE;0;4
20211222;3/1/2020;11:40;LIMA;PE-1S;81;CHOQUE;0;0
20211222;3/1/2020;19:00;LAMBAYEQUE;PE-1N;105;CHOQUE;0;3
20211222;3/1/2020;23:45;LIMA;PE-1N;123;CHOQUE;0;1
20211222;3/1/2020;11:29;JUNIN;PE-22;141;CHOQUE;0;0
20211222;3/1/2020;16:00;LIMA;PE-1N;158;CHOQUE;0;2
20211222;3/1/2020;7:30;ICA;PE-1S;192;DESPISTE;0;2
20211222;3/1/2020;1:00;AYACUCHO;PE-28A;233;DESPISTE;0;0
20211222;3/1/2020;6:50;PUNO;PE-34A;244;CHOQUE;0;1
20211222;3/1/2020;10:10;ANCASH;PE-3N;388;DESPISTE;0;1
20211222;3/1/2020;1:20;AREQUIPA;PE-1S;953;CHOQUE;0;2
20211222;3/1/2020;23:50;PIURA;PE-1N;1009;DESPISTE;1;0
20211222;3/1/2020;21:30;PUNO;PE-3S;1207;CHOQUE;0;4
20211222;4/1/2020;11:10;ANCASH;PE-16;2;DESPISTE;0;0
20211222;4/1/2020;12:30;AREQUIPA;PE-34;32;CHOQUE;0;0
20211222;4/1/2020;21:40;LIMA;PE-1S;34;DESPISTE;0;2
20211222;4/1/2020;21:00;TACNA;PE-1SD;34;CHOQUE;2;0
20211222;4/1/2020;23:50;JUNIN;PE-3S;37;DESPISTE;0;4
20211222;4/1/2020;17:30;UCAYALI;PE-5N;41;CHOQUE;0;2
20211222;4/1/2020;16:50;CAJAMARCA;PE-08B;45;CHOQUE;0;2
20211222;4/1/2020;1:50;JUNIN;PE-22;54;CHOQUE;0;0
20211222;4/1/2020;16:30;CAJAMARCA;PE-08A;62;DESPISTE;0;1
20211222;4/1/2020;11:25;LIMA;PE-1N;111;DESPISTE;0;0
20211222;4/1/2020;9:30;LIMA;PE-1N;117;DESPISTE;0;1
20211222;4/1/2020;12:45;LIMA;PE-1S;120;DESPISTE;0;2
20211222;4/1/2020;12:05;HUANUCO;PE-3N;207;CHOQUE;0;1
20211222;4/1/2020;16:00;LAMBAYEQUE;PE-1N;829;DESPISTE;0;2
20211222;5/1/2020;19:50;ICA;PE-28A;4;CHOQUE;0;6
20211222;5/1/2020;19:50;LIMA;PE-1S;21;CHOQUE;0;2
20211222;5/1/2020;13:30;LIMA;PE-20A;25;CHOQUE;0;2
20211222;5/1/2020;13:40;JUNIN;PE-5S;45;CHOQUE;0;0
20211222;5/1/2020;10:54;LIMA;PE-1S;54;DESPISTE;0;2
20211222;5/1/2020;14:30;LIMA;PE-1N;83;CHOQUE;0;5
20211222;5/1/2020;16:50;LAMBAYEQUE;PE-1N;91;CHOQUE;0;1
20211222;5/1/2020;4:55;LIMA;PE-22;96;CHOQUE;0;3
20211222;5/1/2020;14:10;LIMA;PE-1N;106;CHOQUE;0;2
20211222;5/1/2020;7:20;LIMA;PE-22;129;CHOQUE;0;0
20211222;5/1/2020;15:45;PASCO;PE-3N;137;CHOQUE;0;2
20211222;5/1/2020;23:30;AREQUIPA;PE-34A;158;DESPISTE;0;0
20211222;5/1/2020;13:40;ANCASH;PE-1N;309;CHOQUE;3;4
20211222;5/1/2020;18:30;MOQUEGUA;PE-1S;1136;DESPISTE;0;0
20211222;5/1/2020;17:00;PUNO;PE-3S;1258;DESPISTE;0;5
20211222;5/1/2020;10:20;AREQUIPA;PE-34E;1300;CHOQUE;0;0
20211222;6/1/2020;15:40;LIMA;PE-22;10;CHOQUE;0;0
20211222;6/1/2020;6:00;LA LIBERTAD;PE-5N;20;DESPISTE;0;7
20211222;6/1/2020;23:40;AYACUCHO;PE-28B;28;DESPISTE;0;0
20211222;6/1/2020;22:30;PUNO;PE-30A;75;CHOQUE;1;0
20211222;6/1/2020;16:00;ICA;PE-30A;118;DESPISTE;0;0
20211222;6/1/2020;13:45;HUANCAVELICA;PE-3S;135;ATROPELLO;1;0
20211222;6/1/2020;2:30;ICA;PE-1S;196;ATROPELLO;1;0
20211222;6/1/2020;11:20;ICA;PE-1S;273;ATROPELLO;1;0
20211222;6/1/2020;0:20;AREQUIPA;PE-1S;571;CHOQUE;16;46
20211222;6/1/2020;12:30;AREQUIPA;PE-1S;902;DESPISTE;0;1
20211222;6/1/2020;14:20;AREQUIPA;PE-1S;988;CHOQUE;2;5
20211222;7/1/2020;15:00;LIMA;PE-1S;29;CHOQUE;0;1
20211222;7/1/2020;11:30;HUANUCO;PE-18A;111;DESPISTE;0;0
20211222;7/1/2020;4:30;HUANCAVELICA;PE-28A;124;ESPECIAL;0;2
20211222;7/1/2020;16:30;AREQUIPA;PE-34A;151;DESPISTE;0;1
20211222;7/1/2020;5:00;CUSCO;PE-3S;155;CHOQUE;1;0
20211222;7/1/2020;6:15;ANCASH;PE-1N;246;DESPISTE;0;3
20211222;7/1/2020;19:30;APURIMAC;PE-30A;283;DESPISTE;0;6
20211222;7/1/2020;17:15;ANCASH;PE-1N;287;DESPISTE;0;1
20211222;7/1/2020;3:15;ICA;PE-1S;315;DESPISTE;0;1
20211222;7/1/2020;8:10;ANCASH;PE-3N;629;CHOQUE;0;2
20211222;7/1/2020;13:00;CUSCO;PE-3S;870;CHOQUE;0;1
20211222;7/1/2020;16:30;AREQUIPA;PE-1S;872;DESPISTE;0;0
20211222;7/1/2020;6:00;CUSCO;PE-3S;1063;CHOQUE;0;0
20211222;8/1/2020;11:35;JUNIN;PE-22;15;DESPISTE;0;1
20211222;8/1/2020;16:30;AREQUIPA;PE-34E;23;DESPISTE;2;4
20211222;8/1/2020;7:35;JUNIN;PE-22;37;DESPISTE;0;1
20211222;8/1/2020;21:00;LIMA;PE-1N;48;CHOQUE;0;0
20211222;8/1/2020;15:20;CAJAMARCA;PE-3N;50;DESPISTE;0;0
20211222;8/1/2020;3:30;PIURA;PE-1N;61;CHOQUE;0;0
20211222;8/1/2020;21:00;HUANCAVELICA;PE-28A;80;CHOQUE;1;0
20211222;8/1/2020;14:40;AREQUIPA;PE-34A;141;DESPISTE;0;2
20211222;8/1/2020;10:00;PUNO;PE-34A;205;DESPISTE;0;2
20211222;8/1/2020;11:30;HUANUCO;PE-3N;272;DESPISTE;0;2
20211222;8/1/2020;4:20;ICA;PE-1S;331;CHOQUE;2;5
20211222;8/1/2020;5:30;ANCASH;PE-1N;416;ATROPELLO;1;0
20211222;9/1/2020;12:20;ANCASH;PE-12B;8;DESPISTE;0;25
20211222;9/1/2020;5:30;LA LIBERTAD;PE-1NF;9;DESPISTE;0;0
20211222;9/1/2020;15:25;CAJAMARCA;PE-06B;11;CHOQUE;0;3
20211222;9/1/2020;18:20;AREQUIPA;PE-34A;88;CHOQUE;0;1
20211222;9/1/2020;21:30;LAMBAYEQUE;PE-1N;89;CHOQUE;0;1
20211222;9/1/2020;22:15;AREQUIPA;PE-34A;120;CHOQUE;0;4
20211222;9/1/2020;7:20;JUNIN;PE-22;135;CHOQUE;0;0
20211222;9/1/2020;23:00;ANCASH;PE-1N;432;ESPECIAL;0;1
20211222;9/1/2020;6:30;SAN MARTIN;PE-5N;634;ESPECIAL;0;1
20211222;9/1/2020;9:40;LA LIBERTAD;PE-1N;655;DESPISTE;0;5
20211222;9/1/2020;10:30;AREQUIPA;PE-1S;823;ATROPELLO;1;0
20211222;9/1/2020;20:10;CUSCO;PE-3S;1067;DESPISTE;0;2
20211222;10/1/2020;23:50;TACNA;PE-1SD;28;CHOQUE;0;0
20211222;10/1/2020;23:15;LIMA;PE-1S;70;DESPISTE;0;5
20211222;10/1/2020;12:00;ICA;PE-30A;71;DESPISTE;2;0
20211222;10/1/2020;20:30;CAJAMARCA;PE-06B;79;CHOQUE;0;2
20211222;10/1/2020;23:30;LIMA;PE-1S;91;ATROPELLO;1;0
20211222;10/1/2020;19:50;JUNIN;PE-3N;94;CHOQUE;0;0
20211222;10/1/2020;16:40;LIMA;PE-1S;101;CHOQUE;0;0
20211222;10/1/2020;17:25;LIMA;PE-1S;129;DESPISTE;0;1
20211222;10/1/2020;17:00;LAMBAYEQUE;PE-06A;167;DESPISTE;0;2
20211222;10/1/2020;5:00;AREQUIPA;PE-34A;179;DESPISTE;1;4
20211222;10/1/2020;6:45;ICA;PE-1S;195;CHOQUE;0;1
20211222;10/1/2020;2:30;AMAZONAS;PE-5N;264;DESPISTE;0;6
20211222;10/1/2020;17:40;LA LIBERTAD;PE-1N;506;ESPECIAL;0;0
