"FECHA_CORTE","FECHA","HORA","DEPARTAMENTO","CODIGO_VIA","KILOMETRO","MODALIDAD","FALLECIDOS","HERIDOS"
20211222,"20/1/2020","6:00","LIMA","PE-1N","106","CHOQUE","0","0"
20211222,"21/1/2020","10:25","TACNA","N.I.","44","DESPISTE","0","2"
20211222,"26/9/2020","17:40","MADRE DE DIOS","PE-30C","522","CHOQUE","0","0"
20211222,"9/11/2020","16:30","ANCASH","PE-1N","445","DESPISTE","1","0"
20211222,"13/9/2020","7:30","AREQUIPA","PE-1S","600","DESPISTE","0","1"
20211222,"20/8/2020","10:30","CAJAMARCA","PE-3N","1293","DESPISTE","0","0"
20211222,"30/3/2020","18:30","CUSCO","PE-3SY","60","DESPISTE","0","0"
20211222,"16/6/2020","0:30","LIMA","PE-22","91","CHOQUE","0","3"
20211222,"27/12/2020","14:50","JUNIN","PE-22","156","CHOQUE","7","2"
20211222,"25/5/2020","8:05","LIMA","PE-22","128","DESPISTE","0","1"
20211222,"24/11/2020","6:30","PUNO","PE-34H","258","DESPISTE","5","2"
20211222,"10/3/2020","2:05","PIURA","PE-1N","925","CHOQUE","0","1"
20211222,"9/1/2020","15:25","CAJAMARCA","PE-06B","11","CHOQUE","0","3"
20211222,"9/2/2020","12:00","LIMA","PE-20A","27","DESPISTE","0","2"
20211222,"3/6/2020","18:15","ICA","PE-1S","379","CHOQUE","0","7"
20211222,"29/2/2020","16:00","PIURA","PE-3N","36","CHOQUE","0","2"
20211222,"29/1/2020","17:40","LORETO","LO-103","5","CHOQUE","0","2"
20211222,"24/1/2020","22:50","ICA","PE-1S","424","CHOQUE","0","0"
20211222,"23/9/2020","1:30","LIMA","PE-1N","137","CHOQUE","0","0"
20211222,"23/2/2020","4:00","MOQUEGUA","PE-36A","77","CHOQUE","0","2"
20211222,"28/3/2020","0:10","LAMBAYEQUE","PE-1N","828","DESPISTE","0","0"
20211222,"23/10/2020","6:02","AREQUIPA","PE-1S","603","DESPISTE","0","1"
20211222,"23/8/2020","17:30","PIURA","PE-1NL","1042","CHOQUE","0","2"
20211222,"12/2/2020","4:30","TACNA","PE-36A","75","DESPISTE","0","0"
20211222,"3/1/2020","6:50","PUNO","PE-34A","244","CHOQUE","0","1"
20211222,"3/10/2020","9:20","LAMBAYEQUE","PE-1N","763","CHOQUE","1","0"
20211222,"4/1/2020","1:50","JUNIN","PE-22","54","CHOQUE","0","0"
20211222,"14/1/2020","16:30","LIMA","PE-1S","125","DESPISTE","0","0"
20211222,"12/1/2020","16:30","LIMA","PE-1N","63","DESPISTE","0","5"
20211222,"18/12/2020","15:10","CAJAMARCA","PE-08B","39","DESPISTE","0","3"
