MES;DIA;HORA;PROVINCIA;CANTON;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
ENERO;MARTES;23:00 A 23:59;IMBABURA;IBARRA;RURAL;0;0;0;OTROS;OTRAS CAUSAS
ENERO;MARTES;07:00 A 07:59;TUNGURAHUA;AMBATO;RURAL;0;1;1;ATROPELLOS;EMBRIAGUEZ O DROGA
ENERO;MARTES;20:00 A 20:59;ESMERALDAS;SAN LORENZO;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;08:00 A 08:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;RURAL;0;5;5;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;MARTES;06:00 A 06:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;RURAL;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;MARTES;21:00 A 21:59;AZUAY;CUENCA;RURAL;1;1;2;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;11:00 A 11:59;LOS RÍOS;VENTANAS;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;20:00 A 20:59;GUAYAS;EL EMPALME;RURAL;0;0;0;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;08:00 A 08:59;LOS RÍOS;VENTANAS;RURAL;0;5;5;OTROS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;17:00 A 17:59;GUAYAS;GUAYAQUIL;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;21:00 A 21:59;GUAYAS;NOBOL;RURAL;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;19:00 A 19:59;GUAYAS;DAULE;RURAL;0;2;2;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;11:00 A 11:59;GUAYAS;GENERAL  ANTONIO ELIZALDE;RURAL;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;MARTES;18:00 A 18:59;MANABÍ;ROCAFUERTE;RURAL;0;5;5;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;12:00 A 12:59;GUAYAS;SALITRE;RURAL;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;13:00 A 13:59;GUAYAS;DURAN;RURAL;0;3;3;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
ENERO;MARTES;23:00 A 23:59;LOS RÍOS;QUEVEDO;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;03:00 A 03:59;GUAYAS;NARANJITO;RURAL;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;MARTES;23:00 A 23:59;AZUAY;CUENCA;RURAL;0;2;2;PÉRDIDA DE PISTA;MAL REBASAMIENTO INVADIR CARRIL
ENERO;MARTES;11:00 A 11:59;SANTA ELENA;SANTA ELENA;RURAL;0;2;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;10:00 A 10:59;MANABÍ;PORTOVIEJO;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;15:00 A 15:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;13:00 A 13:59;GUAYAS;PLAYAS;RURAL;0;3;3;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;09:00 A 09:59;GUAYAS;SAMBORONDON;RURAL;0;0;0;PÉRDIDA DE PISTA;MAL REBASAMIENTO INVADIR CARRIL
ENERO;MARTES;09:00 A 09:59;GUAYAS;DAULE;RURAL;2;0;2;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;14:00 A 14:59;GUAYAS;BALAO;RURAL;0;1;1;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;MARTES;11:00 A 11:59;GUAYAS;SAMBORONDON;RURAL;0;2;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;11:00 A 11:59;GUAYAS;PLAYAS;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPRUDENCIA  DEL PEATÓN
ENERO;MARTES;09:00 A 09:59;GUAYAS;DURAN;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;07:00 A 07:59;AZUAY;CUENCA;RURAL;0;0;0;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
ENERO;MARTES;11:00 A 11:59;GUAYAS;DURAN;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
