"MES","DIA","HORA","PROVINCIA","CANTON","ZONA","NUM_FALLECIDO","NUM_LESIONADO","TOTAL_VICTIMAS","CLASE","CAUSA"
"DICIEMBRE","JUEVES","11:00 A 11:59","MANABÍ","MONTECRISTI","RURAL",0,0,0,"ROZAMIENTOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ABRIL","JUEVES","14:00 A 14:59","CHIMBORAZO","RIOBAMBA","RURAL",0,0,0,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"JULIO","MARTES","04:00 A 04:59","EL ORO","PASAJE","RURAL",0,2,2,"PÉRDIDA DE PISTA","MAL REBASAMIENTO INVADIR CARRIL"
"NOVIEMBRE","LUNES","00:00 A 00:59","ORELLANA","LORETO","RURAL",1,0,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"JUNIO","DOMINGO","00:00 A 00:59","TUNGURAHUA","AMBATO","RURAL",0,0,0,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"AGOSTO","JUEVES","12:00 A 12:59","EL ORO","PASAJE","RURAL",0,2,2,"OTROS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ENERO","SÁBADO","21:00 A 21:59","LOS RÍOS","BABAHOYO","RURAL",0,2,2,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"AGOSTO","JUEVES","19:00 A 19:59","GUAYAS","SAN JACINTO DE YAGUACHI","RURAL",0,1,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"MAYO","SÁBADO","22:00 A 22:59","LOS RÍOS","VENTANAS","RURAL",0,1,1,"PÉRDIDA DE PISTA","MAL REBASAMIENTO INVADIR CARRIL"
"NOVIEMBRE","VIERNES","15:00 A 15:59","TUNGURAHUA","AMBATO","RURAL",0,0,0,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ABRIL","LUNES","19:00 A 19:59","AZUAY","CUENCA","RURAL",0,0,0,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ENERO","LUNES","19:00 A 19:59","EL ORO","MACHALA","RURAL",1,0,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"FEBRERO","MARTES","06:00 A 06:59","PICHINCHA","DISTRITO METROPOLITANO DE QUITO","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"OCTUBRE","VIERNES","19:00 A 19:59","MANABÍ","PORTOVIEJO","RURAL",1,0,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"NOVIEMBRE","VIERNES","11:00 A 11:59","MANABÍ","TOSAGUA","RURAL",0,2,2,"CHOQUES","NO RESPETA LAS SEÑALES DE TRÁNSITO"
"ENERO","MARTES","23:00 A 23:59","CHIMBORAZO","GUANO","RURAL",1,1,2,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ABRIL","DOMINGO","18:00 A 18:59","MANABÍ","PORTOVIEJO","RURAL",0,0,0,"ROZAMIENTOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"DICIEMBRE","MARTES","18:00 A 18:59","GUAYAS","NARANJITO","RURAL",0,1,1,"CAÍDA DE PASAJEROS","IMPRUDENCIA  DEL PEATÓN"
"NOVIEMBRE","SÁBADO","03:00 A 03:59","GUAYAS","BALZAR","RURAL",0,0,0,"PÉRDIDA DE PISTA","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"MARZO","JUEVES","18:00 A 18:59","NAPO","QUIJOS","RURAL",1,2,3,"PÉRDIDA DE PISTA","FACTORES CLIMÁTICOS"
"NOVIEMBRE","SÁBADO","16:00 A 16:59","AZUAY","GIRON","RURAL",0,0,0,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"SEPTIEMBRE","DOMINGO","16:00 A 16:59","GUAYAS","ISIDRO AYORA","RURAL",0,1,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
